gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000141510	TP53	tumor protein p53	17p13.1	protein_coding	898	1396	64.33	4964	16508	30.07	1522	105	6.90	647	42.51	468	Cancer Gene Census
ENSG00000181143	MUC16	mucin 16, cell surface associated	19p13.2	protein_coding	601	1396	43.05	2903	16508	17.59	1522	130	8.54	460	30.22	1163	Cancer Gene Census
ENSG00000164796	CSMD3	CUB and Sushi multiple domains 3	8q23.3	protein_coding	598	1396	42.84	1991	16508	12.06	1522	773	50.79	57	3.75	963	Cancer Gene Census
ENSG00000168702	LRP1B	LDL receptor related protein 1B	2q22.1, 2q22.2	protein_coding	475	1396	34.03	1784	16508	10.81	1522	370	24.31	113	7.42	738	Cancer Gene Census
ENSG00000165323	FAT3	FAT atypical cadherin 3	11q14.3	protein_coding	311	1396	22.28	1438	16508	8.71	1522	335	22.01	212	13.93	416	Cancer Gene Census
ENSG00000147724	FAM135B	family with sequence similarity 135 member B	8q24.23	protein_coding	299	1396	21.42	953	16508	5.77	1522	769	50.53	74	4.86	372	Cancer Gene Census
ENSG00000040731	CDH10	cadherin 10	5p14.2, 5p14.1	protein_coding	256	1396	18.34	736	16508	4.46	1522	915	60.12	53	3.48	303	Cancer Gene Census
ENSG00000196159	FAT4	FAT atypical cadherin 4	4q28.1	protein_coding	253	1396	18.12	1444	16508	8.75	1522	88	5.78	546	35.87	301	Cancer Gene Census
ENSG00000133703	KRAS	KRAS proto-oncogene, GTPase	12p12.1	protein_coding	246	1396	17.62	1763	16508	10.68	1522	515	33.84	125	8.21	26	Cancer Gene Census
ENSG00000174469	CNTNAP2	contactin associated protein 2	7q35, 7q36.1	protein_coding	216	1396	15.47	819	16508	4.96	1522	504	33.11	146	9.59	259	Cancer Gene Census
ENSG00000167548	KMT2D	lysine methyltransferase 2D	12q13.12	protein_coding	202	1396	14.47	1336	16508	8.09	1522	363	23.85	144	9.46	231	Cancer Gene Census
ENSG00000066032	CTNNA2	catenin alpha 2	2p12	protein_coding	193	1396	13.83	670	16508	4.06	1522	474	31.14	63	4.14	223	Cancer Gene Census
ENSG00000079999	KEAP1	kelch like ECH associated protein 1	19p13.2	protein_coding	192	1396	13.75	376	16508	2.28	1522	144	9.46	457	30.03	176	Cancer Gene Census
ENSG00000169862	CTNND2	catenin delta 2	5p15.2	protein_coding	187	1396	13.40	677	16508	4.10	1522	948	62.29	47	3.09	215	Cancer Gene Census
ENSG00000153707	PTPRD	protein tyrosine phosphatase receptor type D	9p24.1, 9p23	protein_coding	178	1396	12.75	767	16508	4.65	1522	186	12.22	666	43.76	223	Cancer Gene Census
ENSG00000146648	EGFR	epidermal growth factor receptor	7p11.2	protein_coding	171	1396	12.25	660	16508	4.00	1522	659	43.30	87	5.72	83	Cancer Gene Census
ENSG00000196712	NF1	neurofibromin 1	17q11.2	protein_coding	163	1396	11.68	887	16508	5.37	1522	396	26.02	190	12.48	177	Cancer Gene Census
ENSG00000083857	FAT1	FAT atypical cadherin 1	4q35.2	protein_coding	159	1396	11.39	1069	16508	6.48	1522	114	7.49	520	34.17	181	Cancer Gene Census
ENSG00000198173	FAM47C	family with sequence similarity 47 member C	Xp21.1	protein_coding	154	1396	11.03	635	16508	3.85	1522	0	0.00	0	0.00	184	Cancer Gene Census
ENSG00000168542	COL3A1	collagen type III alpha 1 chain	2q32.2	protein_coding	149	1396	10.67	587	16508	3.56	1522	394	25.89	107	7.03	174	Cancer Gene Census
ENSG00000196090	PTPRT	protein tyrosine phosphatase receptor type T	20q12, 20q13.11	protein_coding	148	1396	10.60	812	16508	4.92	1522	521	34.23	138	9.07	175	Cancer Gene Census
ENSG00000198795	ZNF521	zinc finger protein 521	18q11.2	protein_coding	141	1396	10.10	537	16508	3.25	1522	290	19.05	364	23.92	169	Cancer Gene Census
ENSG00000183454	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	16p13.2	protein_coding	139	1396	9.96	776	16508	4.70	1522	353	23.19	223	14.65	161	Cancer Gene Census
ENSG00000115760	BIRC6	baculoviral IAP repeat containing 6	2p22.3	protein_coding	137	1396	9.81	760	16508	4.60	1522	489	32.13	65	4.27	159	Cancer Gene Census
